ano,temperatura_media_c,temperatura_maxima_c,temperatura_minima_c,precipitacao_media_dia_valido_mm,maior_chuva_diaria_mm,dias_validos_temperatura,dias_validos_precipitacao,dias_chuvosos,dias_esperados,cobertura_temperatura,cobertura_precipitacao,proporcao_dias_chuvosos,temperatura_adequada_90,precipitacao_adequada_90,temperatura_adequada_80,precipitacao_adequada_80
2002,21.84458460200087,38.7,4.5,3.6488038277511965,76.0,209,209,45.0,365,0.5726027397260274,0.5726027397260274,0.215311004784689,False,False,False,False
2003,21.380632112956754,37.6,6.3,3.6487341772151898,65.8,316,316,80.0,365,0.8657534246575342,0.8657534246575342,0.25316455696202533,False,False,True,True
2004,23.07571977539369,35.2,13.8,5.7823529411764705,58.599999999999994,105,102,40.0,366,0.28688524590163933,0.2786885245901639,0.39215686274509803,False,False,False,False
2005,21.940945196647323,36.2,5.2,3.986915887850467,131.4,329,321,73.0,365,0.9013698630136986,0.8794520547945206,0.22741433021806853,True,False,True,True
2006,21.787524676590465,36.9,4.9,3.241764705882353,63.6,342,340,82.0,365,0.936986301369863,0.9315068493150684,0.2411764705882353,True,True,True,True
2007,21.797344663303708,37.0,4.2,4.473480662983426,101.6,362,362,87.0,365,0.9917808219178083,0.9917808219178083,0.24033149171270718,True,True,True,True
2008,20.841322465568012,36.4,4.9,3.4715846994535515,53.2,366,366,98.0,366,1.0,1.0,0.2677595628415301,True,True,True,True
2009,20.097737800403596,34.6,4.7,2.9430379746835444,41.6,158,158,44.0,365,0.4328767123287671,0.4328767123287671,0.27848101265822783,False,False,False,False
2010,21.162809680657507,35.9,5.9,2.3034920634920635,57.8,315,315,65.0,365,0.863013698630137,0.863013698630137,0.20634920634920634,False,False,True,True
2011,21.160251106102347,37.4,2.1,3.8754820936639116,70.4,363,363,94.0,365,0.9945205479452055,0.9945205479452055,0.25895316804407714,True,True,True,True
2012,21.76635846734167,38.6,6.5,3.4794520547945207,88.6,365,365,92.0,366,0.9972677595628415,0.9972677595628415,0.25205479452054796,True,True,True,True
2013,21.711763162693583,35.6,7.3,4.607612456747405,64.60000000000001,289,289,90.0,365,0.7917808219178082,0.7917808219178082,0.31141868512110726,False,False,False,False
2014,21.941353789720047,39.6,7.9,2.563975155279503,62.4,322,322,70.0,365,0.8821917808219178,0.8821917808219178,0.21739130434782608,False,False,True,True
2015,22.09390279928529,37.9,9.4,3.8169863013698633,58.8,365,365,111.0,365,1.0,1.0,0.3041095890410959,True,True,True,True
2016,21.54159758850083,36.8,3.4,3.161676646706587,55.4,366,334,97.0,366,1.0,0.912568306010929,0.2904191616766467,True,True,True,True
2017,21.76124955330554,37.1,4.7,3.8219178082191783,131.8,365,365,87.0,365,1.0,1.0,0.23835616438356164,True,True,True,True
2018,22.3488249475891,35.7,6.1,3.392452830188679,75.4,318,318,80.0,365,0.8712328767123287,0.8712328767123287,0.25157232704402516,False,False,True,True
2019,22.55597008139766,38.1,2.7,2.300821917808219,66.39999999999999,365,365,82.0,365,1.0,1.0,0.22465753424657534,True,True,True,True
2020,22.21259107468124,41.6,6.0,3.23224043715847,99.8,366,366,82.0,366,1.0,1.0,0.22404371584699453,True,True,True,True
2021,22.01463434949192,39.7,1.6,2.5977011494252875,66.39999999999999,348,348,66.0,365,0.9534246575342465,0.9534246575342465,0.1896551724137931,True,True,True,True
2022,20.698369805641306,36.2,5.3,2.8043795620437955,72.4,274,274,78.0,365,0.7506849315068493,0.7506849315068493,0.2846715328467153,False,False,False,False
2023,22.416204089735956,39.6,6.1,3.0712328767123287,44.8,365,365,94.0,365,1.0,1.0,0.25753424657534246,True,True,True,True
2024,23.33630464480874,39.7,6.4,2.8775956284153006,64.6,366,366,77.0,366,1.0,1.0,0.2103825136612022,True,True,True,True
2025,22.07921208128718,37.9,4.3,2.2617079889807163,50.4,363,363,88.0,365,0.9945205479452055,0.9945205479452055,0.24242424242424243,True,True,True,True
