data_local,temperatura_media_c,temperatura_maxima_c,temperatura_minima_c,precipitacao_total_mm,observacoes_temperatura,observacoes_precipitacao,ano,mes,dia,valido_temperatura,valido_precipitacao,dia_chuvoso
2002-01-01,23.104166666666668,27.6,21.5,17.0,24,24,2002,1,1,True,True,1.0
2002-01-02,24.729166666666668,31.7,20.6,0.0,24,24,2002,1,2,True,True,0.0
2002-01-03,25.166666666666668,32.5,17.9,0.0,24,24,2002,1,3,True,True,0.0
2002-01-04,25.104166666666668,31.4,19.9,0.0,24,24,2002,1,4,True,True,0.0
2002-01-05,25.349999999999998,31.9,19.7,0.0,24,24,2002,1,5,True,True,0.0
2002-01-06,25.795833333333334,33.3,19.7,0.0,24,24,2002,1,6,True,True,0.0
2002-01-07,23.395833333333332,27.0,21.2,0.6000000000000001,24,24,2002,1,7,True,True,0.0
2002-01-08,24.099999999999998,30.4,19.8,55.4,24,24,2002,1,8,True,True,1.0
2002-01-09,22.075,26.7,18.3,4.2,24,24,2002,1,9,True,True,1.0
2002-01-10,,,,,20,20,2002,1,10,False,False,
2002-01-11,,,,,12,12,2002,1,11,False,False,
2002-01-12,,,,,21,21,2002,1,12,False,False,
2002-01-13,21.620833333333334,27.1,19.6,39.0,24,24,2002,1,13,True,True,1.0
2002-01-14,20.333333333333332,21.6,18.7,72.6,24,24,2002,1,14,True,True,1.0
2002-01-15,22.3875,30.2,18.6,24.0,24,24,2002,1,15,True,True,1.0
2002-01-16,21.0,26.6,17.4,0.0,24,24,2002,1,16,True,True,0.0
2002-01-17,20.35833333333333,28.3,12.7,0.0,24,24,2002,1,17,True,True,0.0
2002-01-18,20.166666666666668,27.8,14.5,0.0,24,24,2002,1,18,True,True,0.0
2002-01-19,21.8,28.2,17.0,0.0,24,24,2002,1,19,True,True,0.0
2002-01-20,21.40833333333333,28.7,18.5,18.4,24,24,2002,1,20,True,True,1.0
2002-01-21,24.304166666666664,30.2,20.2,0.2,24,24,2002,1,21,True,True,0.0
2002-01-22,25.587500000000002,32.7,20.9,4.6,24,24,2002,1,22,True,True,1.0
2002-01-23,23.5,29.8,19.5,0.4,24,24,2002,1,23,True,True,0.0
2002-01-24,25.7,32.4,20.1,0.0,24,24,2002,1,24,True,True,0.0
2002-01-25,23.474999999999998,32.3,19.8,11.600000000000001,24,24,2002,1,25,True,True,1.0
2002-01-26,24.96666666666667,32.9,19.5,0.2,24,24,2002,1,26,True,True,0.0
2002-01-27,23.212500000000002,31.2,20.0,28.599999999999998,24,24,2002,1,27,True,True,1.0
2002-01-28,23.608695652173914,32.1,20.4,10.199999999999998,23,23,2002,1,28,True,True,1.0
2002-01-29,,,,,3,3,2002,1,29,False,False,
2002-01-30,,,,,0,0,2002,1,30,False,False,
2002-01-31,,,,,0,0,2002,1,31,False,False,
2002-02-01,,,,,0,0,2002,2,1,False,False,
2002-02-02,,,,,0,0,2002,2,2,False,False,
2002-02-03,,,,,0,0,2002,2,3,False,False,
2002-02-04,,,,,0,0,2002,2,4,False,False,
2002-02-05,,,,,0,0,2002,2,5,False,False,
2002-02-06,,,,,0,0,2002,2,6,False,False,
2002-02-07,,,,,0,0,2002,2,7,False,False,
2002-02-08,,,,,13,13,2002,2,8,False,False,
2002-02-09,,,,,9,9,2002,2,9,False,False,
2002-02-10,,,,,0,0,2002,2,10,False,False,
2002-02-11,,,,,0,0,2002,2,11,False,False,
2002-02-12,,,,,0,0,2002,2,12,False,False,
2002-02-13,,,,,0,0,2002,2,13,False,False,
2002-02-14,,,,,0,0,2002,2,14,False,False,
2002-02-15,,,,,0,0,2002,2,15,False,False,
2002-02-16,,,,,0,0,2002,2,16,False,False,
2002-02-17,,,,,0,0,2002,2,17,False,False,
2002-02-18,,,,,0,0,2002,2,18,False,False,
2002-02-19,,,,,0,0,2002,2,19,False,False,
2002-02-20,,,,,0,0,2002,2,20,False,False,
2002-02-21,,,,,0,0,2002,2,21,False,False,
2002-02-22,,,,,0,0,2002,2,22,False,False,
2002-02-23,,,,,0,0,2002,2,23,False,False,
2002-02-24,,,,,0,0,2002,2,24,False,False,
2002-02-25,,,,,13,13,2002,2,25,False,False,
2002-02-26,22.991666666666664,28.0,18.1,0.0,24,24,2002,2,26,True,True,0.0
2002-02-27,21.40416666666667,23.4,19.6,7.6000000000000005,24,24,2002,2,27,True,True,1.0
2002-02-28,21.141666666666666,25.9,18.9,41.6,24,24,2002,2,28,True,True,1.0
